text,label
@nationalgridus any updates for West Warwick RI?,1.0
#UNY customers: National Grid forecasts lower natural gas heating bills http://bit.ly/OB6Euf ,0.0
Winter Storm Denis Creates Mess For Commuters - http://bit.ly/hs50W5 #Meriden #Connecticut,0.0
"That was a little crazy.  No more power line fires, but no power for entire block. Nice way to greet the day, but everyone is fine!",1.0
@mike_luis_says Is there anything we can help you with today?,0.0
@tykennedy4 woo! Ready to blackout?!,0.0
"[BLOG] Video and Infographic: As graduation nears, we celebrate our '11-'12 corps! http://bit.ly/KFYXjs  @nationalgridUS @followMFS",0.0
"New bill scam affecting #NY, #MA & #RI customers. Callers posing as National Grid reps. Details: http://bit.ly/WrVx98 ",0.0
Beautiful day after the storm. pic.twitter.com/uFTXndzR,0.0
While I am sorry to all those who lost power or inconvenienced by the storm I do love that there was no traffic hea... http://4sq.com/SZtgll,0.0
Holy shit...this storm we're getting is stretching over 2100 miles across 30 states...We're going to get molested.,0.0
We got the power!!!!!,0.0
@nationalgridus Thank you for all you efforts on our behalf!  It is greatly appreciated.  Happy to know that National Grid is compassionate.,0.0
Outage list updated as of 5 am - http://psnhnews.com/outagelist  - about 13k customers impacted. Crews working 24/7 to finish the job...,1.0
"RT @nationalgridus: Winter snow storm prep: Make sure you have working flashlights, at least one battery-operated radio & extra batteries.",0.0
Damn you stupid snow storm! (@ Courtyard Hartford Farmington) http://4sq.com/UucQF9,0.0
Unnecessary disrespect isn't tolerated.. I won't give niggas the power to disrespect the woman . If (cont) http://tl.gd/jau6nq,0.0
$89 for Six Sessions and T-shirt at Pure Power Boot Camp ($283 Value). Choose from Two Locations. http://bit.ly/efMGb5 via Groupon for 10704,0.0
"I'm at XL Center for Barstool Blackout (1 Civic Center Plaza, Hartford) w/ 7 others http://4sq.com/wmpfqz",0.0
@AndreaWBZ Maybe the upcoming Tropical Storm hearing for @NationalGridUS can address lack of preventive work and the current response,0.0
"For up-to-date restoration info, visit Outage Central. If still without power pls call 1-800-867-5222 in NY & 1-800-465-1212 in New England.",1.0
"@nationalgridus Please help us, National Grid!  Still out of power in Belchertown!  Day 6.....",1.0
"Still Amish in Chelmsford, MA c'mon @nationalgridus! #irene",0.0
"Worcester, #MA area officials & residents appreciate an improved response from National Grid during #Sandy. http://bit.ly/YM6fbH ",0.0
a winter storm will bring accumulating snow and some ice to the interior late tonight into thursday... ...winter wea... http://j.mp/xlSVdl,0.0
"Well worth a read: ""What if the Lights Go Out?"" by @neilswidey Boston Globe Mag http://psnh.info/zcyavF ",0.0
Forestville CT Sun Aug 28 PM Forecast: TONIGHT Tropical Storm Conditions Lo 59 MONDAY Sunny Hi 79,0.0
"For updates on #HurricaneSandy restoration efforts in #NYC & #LongIsland, please follow @nationalgridus. #NYSandy",1.0
"Smh all power to him, jersey go ham for the jordans",0.0
Ugh!!! I hate the rain! Me and @kaylaincapable are soaked and the movie theatre is out of power :(,1.0
$89 for Six Sessions and T-shirt at Pure Power Boot Camp ($283 Value). Choose from Two Locations. http://bit.ly/efMGb5 via Groupon for 07646,0.0
Back Bay Blackout forces cancellation of physical education professionals convention at Hynes - http://bo.st/xHi4Qr,1.0
Gas smell waiting for @nationalgridus to show up!!,1.0
"Wonderful @PatriotLedger tribute to @NationalGridUS Nick Stavropoulos, we will all miss having u around: http://bit.ly/evpdr3",0.0
"Hoping on a flight to Canada, this storm better not get me stuck there.",0.0
Parked my Chevy Volt at @nationalgridus hdq employee lot thx to Marcy Reed/Ed White taking pity on near empty battery. Great green bldg hdq,0.0
@nationalgridus I called in today because my power went out....and 5 mins later the truck is here...awesome job guys,1.0
"@nationalgridus Outage central is worthless; if it actually responds, status is always ""Assessing condition"" even 24 hours later #FAIL",1.0
Somerset lost power. #quittingtime,1.0
"#FF to @nationalgridus -- follow National Grid on Twitter for news, info, customer service &
#energyefficiency",0.0
@luckyj191 Our crews try to be as #energyefficient as possible!,0.0
On my way to power lunch! http://plixi.com/p/82777873,0.0
"Telecommuters rejoice! For the rest of us, it's slushy out there… Drive safely!",0.0
"""It’s impressive when you step back & look at it over the last 35 yrs"" - @NationalGridus Pres Tom King on progression of #energy efficiency",0.0
@RiWry77 You’re welcome. Happy to hear that your power is restored.,1.0
@nationalgridus BRING MY POWER BACK PLEASE!,1.0
@nationalgridus down telephone pole on power lines on Fowler st in Upton MA.,1.0
The end of my day now announced by my cell phone beeping that its battery is dead. #stilldark @nationalgridus sucks #sodoesmydroidbattery,1.0
@nationalgridUS spotted in our neighborhood #SandyRI,0.0
@StopThatsGay is she storm from X-Men  pic.twitter.com/i63Opwzq,0.0
"National Grid customers, visit Outage Central for the most current winter storm information & contact info http://bit.ly/fcCenw  #snowtober",1.0
#deal Power Pilates : $29 for $60 in 3 Mat Classes or Boot Camp Classes http://bit.ly/vZQTHG,0.0
Mission Accomplished: Town Finishes Post-Storm Debris Collection http://bit.ly/voCfFh  via http://outside.in/07009,0.0
"Really that needed to be said?RT @nationalgridus: If you use a generator during a storm power outage, only operate it outdoors. #SafetyFirst",1.0
Canniff and Barbra steishand would be a power couple #takenotes #taketokes,0.0
"RT @nationalgridus: ETR of 10/31, 11:45pm: #Lynn, #Malden, #Medford, #Melrose, #Randolph #MA",1.0
@millahtime15 We understand your frustration.,0.0
Here comes the storm! pic.twitter.com/uzcLiSJe,0.0
@m_ellisxO @af218 so exciting #blackout #broingout #coorslights #assout,0.0
@nationalgridus Why aren't you on this list? #GreenButtonData http://www.greenbuttondata.org/greenadopt.html ,0.0
@nationalgridus TBA on the new day!,0.0
@bigbootayhoe sheesh it's kinda lonely sitting in the massage chair alone with no company discussing how blackout we were last night!,0.0
"@nationalgridus 
Please take a moment to watch this & circulate to friends & family. It could save a life...........
http://www.youtube.com/watch?v=ddXtgcsJVNg …",0.0
"Upstate New York customers: “Like” us on Facebook for local news, information, tips & other updates #UNY http://on.fb.me/GNJoRh ",0.0
"#RI customers, easy #GetHouseFit form: Own home? Type of home? Fuel type? LIHEAP? #EnergyEfficiency participant? Send. http://bit.ly/MPsPJ8 ",0.0
Will we see you at the @altamontfair? Don't miss your photo opp to pose as an lineman! #UNY #AltamontFair http://ow.ly/d0PTU ,0.0
"@nationalgridus still no crew ""assessing condition"" anywhere near downed lines and trees for 53 hours here in #Douglas #MA #YewStreet",1.0
"The first song I heard today was ""Every Storm Runs Out of Rain"". Funny universe. Verrry funny.",0.0
"Sin has lost its power, death has lost its sting. From the grave you've risen, victoriously! #LifeIsGood",0.0
"@nationalgridus I am a small business, rt 139, this is hurting our business, not one national grid truck in pembroke, next to any down wires",1.0
Fall building projects around the house? Make sure to call before you dig! http://bit.ly/N10nFl ) The #811 Promise,0.0
"money, power, respect, key to life.",0.0
"@Vinceis4lovers Sorry to hear that, Vince. We'd like to help. Can you DM us your location & contact info (phone/email) so a rep. can assist?",0.0
"please @nationalgridus, get my electricity up so I can watch the nightmare before christmas tonight",1.0
"Currently, 3,800 NSTAR customers remain without power. We're working hard and hope to have most everyone back on by later tonight.",1.0
Happy holidays from National Grid. http://ow.ly/i/1i093 ,0.0
Y do I hope the snow storm will b bigger when I know for a fact I'll be req to go to work tomorrow.,0.0
“@Andruzzi63: That's 2 #TouchdownsbyTom Brady to @mrblloyd awesome!!! @nationalgridus” You're well on your way to 5 TD'S! Awesome! #Patriots,0.0
"@nationalgridus Power was restored late last night, Thank you!",1.0
"@nationalgridus Lussier Ave in #Attleboro still with no power, updates please??",1.0
RT @BossDon_AMHD: yooo the eagles got horse power now...by far one of the the speediest teams in the league<< u see them corners smfh,0.0
Ugh @directv is broken due to storm activity #epicfail,1.0
"RT @shityperry How does that even work out? Two power bottoms? One cooks, and the other one does the dishes. But who eats the food?",0.0
"@nationalgridus it is pathetic that your website lists every outage status as ""assessing condition"" which tells customers nothing",1.0
"RT @nationalgridus: During the storm, keep our phone number nearby (1-800-867-5222 in New York and New England 1-800-465-1212) or tweet us.",0.0
@xLovely_Mari @chucky69_ @couture2010 @jay_1323 @anthrax_12 @essy_xxiii 2 late the picture is under my power lol,0.0
@nationalgridus Sent in a Energy Star rebate in June & when I checked online there is no record of you receiving it. What do I do now?,0.0
RT @usfire: #Thanksgiving Day is the No. 1 day for home cooking fires. Stay fire-safe w/ these tips http://go.usa.gov/rIe  #Safety,0.0
@nationalgridus is there anyway of determining when my towns power will be back on by zip code? Houses 1/2 mile away from my house have it.,1.0
@MAC_CMT I bet u the big storm comes on the week of Feb 6 when I'm on vacation,0.0
Hot chocolate before venturing out into the storm for more liquor http://aol.it/f0wjS8,0.0
Greening Work Styles: Analysis of Energy Behavior Programs in the Workplace http://bit.ly/A0iTpb  via @ACEEEdc,0.0
"More money, more problems. Just ask @nationalgridus . lucky for them, this is not winter, and hundreds are not dead. #greed #monopoly",0.0
"New Red Sox addition Mike Napoli fills power need, but defense sacrificed: The Sox filled a huge power need with the... http://dlvr.it/2Zrk8T",0.0
"@nationalgridus You probably already know this, but power has been out in McKownville (12203) since 8:30 am.",1.0
“@AintIFA: Don't underestimate a team like #TeamHaiti we take shit by storm.”,0.0
Green Apple Sour Power Straws @Problemchild31 watchu got...,0.0
"#Eye of the Storm 
 http://twitpic.com/8ib2fy",0.0
"@CoreyDM80 Corey, as of this morning we aren't showing any outages in Saugus, MA. Do you still need assistance?",1.0
RT @nationalgridus: Comfort rules! Look to @ENERGYSTAR for common problems & solutions to make your home comfy & http://1.usa.gov/L3O3oj ,0.0
@nationalgridus no it came back around 9pm last night,1.0
@nationalgridus yet another thing to do to keep us busy while we wait 5-6 days for power restoration.  Got any puzzles.,1.0
@Sasha_Bvlgari u lost power?,1.0
$89 for Six Sessions and T-shirt at Pure Power Boot Camp ($283 Value). Choose from Two Locations. http://bit.ly/efMGb5 via Groupon for 07104,0.0
@mnolin This is Emily at National Grid. Here to help if you have questions. Pls let me know how I can assist you. (cc: @nationalgridUS),0.0
Just lost power on Creek Street in Wrentham @nationalgridus,1.0
I miss watching power rangers :(,0.0
Ahhh I still got power :p,1.0
power JUST went out? ..awesome,1.0
... And we are driving with no windshield wipers.... No power to them whatsoever.... This is illegal...,0.0
Cleaning up through #Baldwin on day 13 @LIPAnews @nationalgridUS @News12LI @longislandpatch #stormdamagepic.twitter.com/hoKsT7tQ,0.0
"We're working w/community groups, houses of worship, & other organizations to assist those affected by #NYSandy.",0.0
If I lose power I'm gonna cry for like 30 years ill be so upset.,1.0
@nationalgridus Pushes Toward ‘Smart Grid’ Pilot With First Installations in #Worcester. | http://WBJournal.com : http://bit.ly/LjaWBo ,0.0
"RT ‏@nationalgridus Trees, above-ground wires biggest culprits in power outages –  http://usat.ly/MijYyr  @USATODAY",0.0
It's finally Black Friday in Cambridge! #Power #Outage,1.0
"RT @SorayaMoraes Grata a Deus pelo descanso essa semana porque semana que vem...more Power to you,my Girl!!!",0.0
"Mr Heck really just said ""power growler"" lmfao @Kirstin_Jones24",0.0
Black Monday #nikesb #dunk # blackout @nikesb #igsneakercommunity #wdywt #sneakers #  @ Mount Sinai Hospital http://instagr.am/p/MmpGHnt5Tn/,0.0
sleep is rewarded to suckas..while power grows within hustlas..,0.0
"Storm L Paris' 
#LoveYoupic.twitter.com/WdL5okm",0.0
@nationalgridus your website is like molasses right now.....,0.0
@nationalgridus ETR for tewksbury,1.0
Power of SUNY an Innovation Showcase http://bit.ly/xkNtff  via http://outside.in/13790,0.0
Can anyone tell me why there are 18k customers in northern Worcester county without power? I'm in Gardner ma  @nationalgridus,1.0
Thunder hand lightening storm on my drive home from Boston! #newenglandweather,0.0
"@nationalgridus 
South end of Stafford Road Monson -- close to CT border, crew cut transformer -- still needs replacing. Firm time / date?",1.0
To Learn Power-Principles to Grow YOUR Bottomline 300%.Register at:http://www.princessbola.com/index.php/events/money-hasnt-left-the-planet,0.0
@nationalgridus do you know when Davis St in Seekonk will be back up? We have been out since 6:30am on Sunday. Thanks,1.0
"“@zepadeedoodah: Enough with the power walking, white people.” #whitepeoplehobbies",0.0
"@Guidoravs Your neighbors may be on a different supply line, or there may be trouble just on the portion supplying your immediate area.",1.0
"Entertaining themselves whole the power is out, laptop still working, Chess does not need  @ Home- Pine Hill http://instagr.am/p/Pu0Z8tFCoW/",1.0
"Did someone ask me to come to his house in the MIDDLE of an ice storm, to have sex with him. ch . . .",0.0
"#TomBrady back on the field, lets go @Patriots! #TouchdownsbyTom with @joeandruzzifndn @Andruzzi63 @jenandruzzi @nationalgridus wooo!",0.0
"Looking at the positive side of things, if the power goes off... I will not have to listen to political ads.",0.0
"For storm updates from @NationalGridUS, text the word ""STORM"" to 64743. To report power outages, you can call 1-800-867-5222. #Sandy #WNY",1.0
Temp outage: Stewartstown Clrksvill Pittsb to make permanent repairs due broken pole. ETR ~ 4:00 p.m.,1.0
@mspowers Please tweet us back if you still need assistance. Thank you.,0.0
"Hospital Expansion Updates, Fair Lawn Man Killed in Motorcycle Crash, Power Outages Top Cou http://bit.ly/vWAcE5  via http://outside.in/07628",1.0
"I'm at Blackout Central (aka haus of gaga) (W. Quackenbush Ave., Dumont) http://4sq.com/sMv2ud",0.0
$89 for Six Sessions and T-shirt at Pure Power Boot Camp ($283 Value). Choose from Two Locations. http://bit.ly/efMGb5 via Groupon for 11042,0.0
High winds may hit our area. Drive safely & report any downed power lines to us at 1-800-465-1212 in #MA #RI #NH or 1-800-867-5222 in #NY.,1.0
"@agdomer town by town ETRs not available yet, but will share as soon as they are ready",1.0
"@Bartez23 actually they don't; it's all pomme frite this, duck confit that. But in Queens. Really? They're playing Cat Power so not all bad!",0.0
Everyone keep praying for Rebecca she is part of #2ra launch team she is still in the hospital. God has the power and strength to heal her.,0.0
Ummm just lost power? #thisisnotreallife,1.0
"@nationalgridus power out at 28 Chestnut Foxboro MA - not sure how to indicate on mobile site, but now you know",1.0
@RealSkipBayless Agree it's not in NCAA power to kill program but school is 100% at fault & should lose accreditation in my opinion.,0.0
"#Groton #MA customers: Starting next week, we’ll be doing routine maintenance to replace gas pipes on Main St. http://bit.ly/JChJq9 ",0.0
